"sid","id","version","name","singer","lyricist","composer","album","bgd","video"
"1","1","1.0","腐草为萤","银临","择荇","银临,灰原穷","腐草为萤","1","1"
"2","2","1.0","棠梨煎雪","银临","商连","银临,灰原穷","腐草为萤","0","1"
"3","3","1.0","泸沽寻梦","银临","小鱼萝莉","银临","腐草为萤","0","1"
"4","4","1.0","锦鲤抄","银临,云の泣","慕清明","银临","腐草为萤","0","1"
"5","5","1.0","洒拓歌","银临","嵯嵨","银临","腐草为萤","0","0"
"6","6","1.0","落梅笺","银临","锦衣小盆友","银临","腐草为萤","0","0"
"7","7","1.0","浮生辞","银临","嵯嵨","银临","腐草为萤","0","0"
"8","8","1.0","故城","银临,灰原穷","未见钗头凤","银临","腐草为萤","0","0"
"9","9","1.0","情囚","银临","芍杳","银临","腐草为萤","0","0"
"10","10","1.0","Backseat Stargazer","银临","王玥星","银临","腐草为萤","0","0"
"11","11","1.0","Zodiac","银临,竹桑","择荇","银临","腐草为萤","0","0"
"12","12","1.0","是风动","银临,河图","择荇","银临","蚍蜉渡海","1","1"
"13","13","1.0","如一","银临","冉语优","银临","蚍蜉渡海","1","1"
"14","14","1.0","不老梦","银临","慕清明","银临","蚍蜉渡海","1","1"
"15","15","1.0","青山揽梦","银临","景她","银临","蚍蜉渡海","0","0"
"16","16","1.0","裁梦为魂","银临","锦衣小盆友","银临","蚍蜉渡海","0","1"
"17","17","1.0","灼","银临","银临,冥凰","银临","蚍蜉渡海","1","1"
"18","18","1.0","不离","银临","陈笑成","银临","蚍蜉渡海","1","1"
"19","19","1.0","春笺","银临","商连","银临","蚍蜉渡海","1","1"
"20","20","1.0","秋水","银临","择荇","银临","蚍蜉渡海","1","1"
"21","21","1.0","说余梦","银临","若紫鸢","银临,小龙龙","蚍蜉渡海","1","1"
"22","22","1.0","卑微情书","银临","素昭","银临","蚍蜉渡海","0","1"
"23","23","1.0","金陵谣","银临","颀鞍","Tureleon","单曲集","0","1"
"24","24","1.0","偏偏","银临","迟意","Sihan","单曲集","0","1"
"25","25","1.0","诗与岁月同歌","银临","素昭","银临","单曲集","0","0"
"26","26","1.0","七夕","银临","烟花瀑布","银临","银临","0","0"
"27","27","1.0","风烟倦","银临","知月倾城","银临","银临","0","0"
"28","28","1.0","谁能不思量","银临","启翎","银临","银临","0","0"
"29","29","1.0","商女恨","银临","嵯嵨","银临","银临","0","0"
"30","30","1.0","牵丝戏","银临,Aki阿杰","Vagary","银临","单曲集","0","1"
"31","31","1.0","流光记","银临","迟意","潮汐,银临","单曲集","1","1"
"32","32","1.0","人间纵月","银临","南岐","陈亦洺","单曲集","0","0"
"33","33","1.0","乐游记","银临,徐梦圆","原晞","徐梦圆","影视剧OST","0","1"
"34","34","1.0","云梦心曲","银临","冉语优","云梦四时歌","游戏OST","1","1"
"35","35","1.0","且笑红尘","银临","未见钗头凤","1AN孙毅然","游戏OST","1","1"
"36","36","1.0","何须问","银临","大毛","郭好为","影视剧OST","0","1"
"37","37","1.0","惹","银临","林乔","郑国锋","影视剧OST","0","0"
"38","38","1.0","珍珠","银临","慕清明","银临","风花雪月","1","1"
"39","39","1.0","焦骨","银临","慕清明","银临","风花雪月","1","1"
"40","40","1.0","无题雪","银临","慕清明","银临","风花雪月","1","1"
"41","41","1.0","月球","银临","慕清明","银临","风花雪月","1","1"
"42","42","1.0","琉璃","银临","商连","银临","琉璃","1","1"
"43","43","1.0","终身成就","银临","沃特艾文儿","银临","琉璃","1","1"
"44","44","1.0","迟迟","银临","冉语优","银临","琉璃","0","1"
"45","45","1.0","西施江南","银临","颀鞍","银临","琉璃","0","0"
"46","46","1.0","无际涯","银临","择荇","Ryuu","琉璃","1","1"
"47","47","1.0","白噪音","银临","择荇","银临","琉璃","0","1"
"48","48","1.0","玫瑰与泪","银临","锦衣小盆友","灰原穷","琉璃","1","1"
"49","49","1.0","海棠春睡","银临","邪叫教主","郭好为","琉璃","0","1"
"50","50","1.0","美人灯","银临","慕清明","银临","琉璃","0","1"
"51","51","1.0","记忘歌","银临","Vagary","银临","琉璃","0","0"
"52","52","1.0","亲爱的瑞秋","银临","慕清明,银临","殷漢","琉璃","0","1"
"53","53","1.0","花与酒","银临","择荇","潮汐,灰原穷","单曲集","1","1"
"54","54","1.0","拒霜思","银临","幕豪,刘恩汛,占逸君","王宗宇","游戏OST","0","1"
"55","55","1.0","游园惊梦","银临,弹壳","弹壳,禾衣","弹壳,三筒七条,IZZI","单曲集","0","1"
"56","56","1.0","红杏枝头春意闹","银临","张巍","吕亮,代岳东","影视剧OST","0","1"
"57","57","1.0","意难平","银临","澄一,何思薇","林海","影视剧OST","0","1"
"58","58","1.0","无人生还","银临,鬼卞","陈笑成","银临","琉璃","0","1"
"59","59","1.0","雪花","银临","左木修","Ozic","单曲集","0","0"
"60","60","1.0","有一封信","银临","原晞","银临","单曲集","1","1"
"61","61","1.0","你是","银临","慕清明","银临","离地十公分·A面","0","0"
"62","62","1.0","眉南边","银临","颀鞍","银临","离地十公分·A面","0","1"
"63","63","1.0","一命矣","银临","慕清明","银临","离地十公分·A面","1","1"
"64","64","1.0","窗前明月光","银临","左木修","银临","离地十公分·B面","1","1"
"65","65","1.0","见夏如晤","银临","商连","Winky诗","离地十公分·B面","1","1"
"66","66","1.0","日出前起飞","银临","沃特艾文儿","银临","离地十公分·B面","0","1"
"67","67","1.0","Drive Until Sunset","银临","沃特艾文儿","银临","离地十公分·B面","0","0"
"68","68","1.0","天意安排","银临","王雨安","莫宇庭","影视剧OST","0","1"
"69","69","1.0","万有引力","银临","季知拙","银临,天钦","影视剧OST","1","1"
"70","70","1.0","快雪","银临","慕清明","银临","游戏OST","1","1"
"71","71","1.0","枕万梦","银临","择荇","银临","单曲集","1","1"
"72","72","1.0","笔底知交","银临,少司命","锦衣小盆友","银临","单曲集","1","1"
"73","73","1.0","春风化雨","银临","叶清眉","少司命","单曲集","0","0"
"74","74","1.0","澹月秋千","银临","商连","涵昱","单曲集","0","0"
"75","75","1.0","山居秋暝","银临","王维,慕清明","田昊","单曲集","0","0"
"76","76","1.0","眠花去","银临","冉语优","银临,陈亦洺","山色有无中","1","1"
"77","77","1.0","沧海飞尘","银临","择荇","灰原穷","山色有无中","1","1"
"78","78","1.0","夜国","银临","邪叫教主","银临","山色有无中","0","1"
"79","79","1.0","愚人歌","银临,李常超","慕清明","银临","山色有无中","1","1"
"80","80","1.0","少女庄周","银临","颀鞍","IRiS七叶","山色有无中","1","1"
"81","81","1.0","我生于野","银临","Yoshi","银临,灰原穷","山色有无中","1","1"
"82","82","1.0","魄心","银临","怀袖","银临","山色有无中","1","1"
"83","83","1.0","幻海同游","银临","陈笑成","银临,灰原穷","山色有无中","1","1"
"84","84","1.0","折柳记","银临,施夏明","迟意","银临","山色有无中","0","1"
"85","85","1.0","你奔向春野","银临","商连","银临","山色有无中","1","1"
"86","86","1.0","小倩","银临","锦衣小盆友","银临","影视剧OST","1","1"
"87","87","1.0","山色有无中","银临","锦衣小盆友","银临","山色有无中","1","1"
"88","88","1.0","眉目如画","银临","刘安宜,吉他兔","银临","单曲集","0","0"
